ÉZÉìÉTî‘çÜ,pos,neg,pos+neg
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,158,158
6,2376,31871,34247
7,2376,32270,34646
8,0,26291,26291
9,7872,71046,78918
10,8032,94532,102564
11,34603,509849,544452
12,4392,8663,13055
13,18834,123305,142139
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
ëçòa,78485,897985,,0.91962
ëçòa(àÍì˙ìñÇΩÇË),3737,42761,,0.91962
