ÉZÉìÉTî‘çÜ,pos,neg,pos+neg
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,147,147
6,1201,21222,22423
7,1201,20770,21971
8,0,19146,19146
9,3825,34259,38084
10,4072,43342,47414
11,17309,213911,231220
12,2256,4906,7162
13,9462,57834,67296
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
ëçòa,39326,415537,,0.91354
ëçòa(àÍì˙ìñÇΩÇË),1872,19787,,0.91354
